DSC Value,Epoch
0.8053,600
0.7862,550
0.7848,650
0.7836,590
0.7791,760
0.7765,1100
0.7753,330
0.7748,670
0.7748,1080
0.7746,920
0.7728,610
0.7724,370
0.7717,1180
0.7714,640
0.7703,1090
0.7703,1250
0.7702,940
0.7702,1230
0.7702,1240
0.7701,1200
0.7699,1210
0.7698,1190
0.7697,1130
0.7697,1220
0.7687,270
0.7640,350
0.7619,320
0.7618,300
0.7596,210
0.7596,1000
0.7548,250
0.7546,230
0.7495,240
0.7373,120
0.7291,130
0.7181,90
0.7158,80
0.7124,140
0.7115,150
0.7078,110
0.6755,160
0.6615,50
0.6569,40
